Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2010;2;Abre Campo;198;766;1;0,014874915;3,868686869;0,005050505;0,654;8024,49;13311;7281;1509;288,46;0;80;0;0;54,7
2010;3;Águas Vermelhas;137;384;1;0,010768747;2,802919708;0,00729927;0,601;10390,91;12722;5375;1514;118,4;118,4;34,62;100;34,62;42,25
2010;4;Aimorés;60;167;2;0,002403942;2,783333333;0,033333333;0,684;10184,46;24959;15502;6452;1159,07;1159,07;75;100;75;62,11
2010;7;Alfenas;25;154;0;0,000338873;6,16;0;0,761;17422,24;73774;69176;25645;3353,15;415,81;77,37;12,4;9,59;93,77
2010;8;Almenara;140;407;1;0,003610574;2,907142857;0,007142857;0,642;6822,02;38775;31750;9753;1063,99;0;71,83;0;0;81,88
2010;9;Alpinópolis;57;219;4;0,003083081;3,842105263;0,070175439;0,725;10994,46;18488;14990;5647;878;0;100;0;0;81,08
2010;11;Andradas;13;31;2;0,000348806;2,384615385;0,153846154;0,734;12966,42;37270;33026;12886;3153,6;0;100;0;0;88,61
2010;12;Araçuaí;79;278;1;0,002193652;3,518987342;0,012658228;0,663;5421,98;36013;11981;3556;357,99;0;32,94;0;0;33,27
2010;13;Araguari;231;721;2;0,002103806;3,121212121;0,008658009;0,773;19564,66;109801;102583;32266;8834;41;85;0,46;0,39;93,43
2010;15;Araxá;84;223;0;0,000896746;2,654761905;0;0,772;27466,91;93672;92284;30111;3887,89;205,13;77,36;5,28;4,08;98,52
2010;16;Arcos;161;442;0;0,004399268;2,745341615;0;0,749;17484,44;36597;33961;13836;2387;1790;100;74,99;88,02;92,8
2010;18;Ataléia;133;325;0;0,009200969;2,443609023;0;0,588;4877,62;14455;3941;1173;108,43;0;37,01;0;0;27,26
2010;19;Barão de Cocais;17;54;1;0,000597708;3,176470588;0,058823529;0,722;32362,95;28442;26500;8100;1230;0;100;0;0;93,17
2010;20;Barbacena;57;240;0;0,000451364;4,210526316;0;0,769;12498,45;126284;111249;25534;3200,96;332,06;73,84;10,37;7,66;88,09
2010;22;Belo Horizonte;2627;15146;31;0,001106035;5,765511991;0,011800533;0,81;24922,95;2375151;2375151;528271;116289,22;84748,2;75,57;72,88;55,07;100
