"Ano","Id","Município","N. Internação","Dias de Permanência","N. Óbitos","Prop Inter / Total Pop","Prop Dias Perm / Internações","Prop de Óbitos / Inter","IDHM","PIB per Capita série revisada","POP_TOT - População total do município do ano de referência (Fonte: IBGE):","ES001 - População total atendida com esgotamento sanitário","ES002 - Quantidade de ligações ativas de esgotos","ES005 - Volume de esgotos coletado","ES006 - Volume de esgotos tratado","IN015_AE - Índice de coleta de esgoto","IN016_AE - Índice de tratamento de esgoto","IN046_AE - Índice de esgoto tratado referido à água consumida","IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água"
"2008",3,"Águas Vermelhas",154,436,1,0.011685256848015782,2.831168831168831,0.006493506493506494,0.466,3705.94,13179,2235,654,49.79,49.79,15.72,100.0,15.72,16.96
"2009",3,"Águas Vermelhas",148,442,0,0.011126982933614015,2.9864864864864864,0.0,0.466,6728.53,13301,5078,1421,89.15,89.15,27.69,100.0,27.69,38.18
"2010",3,"Águas Vermelhas",137,384,1,0.01076874705235026,2.802919708029197,0.0072992700729927005,0.601,10390.91,12722,5375,1514,118.4,118.4,34.62,100.0,34.62,42.25
"2011",3,"Águas Vermelhas",160,472,1,0.012512708219285212,2.95,0.00625,0.601,10088.12,12787,5464,1537,117.81,117.81,34.38,100.0,34.38,42.73
"2012",3,"Águas Vermelhas",161,448,1,0.012529182879377432,2.782608695652174,0.006211180124223602,0.601,17412.72,12850,4368,1232,90.41,90.41,24.88,100.0,24.88,33.99
"2013",3,"Águas Vermelhas",100,285,0,0.007515406583496167,2.85,0.0,0.601,10580.18,13306,4856,1365,101.97,101.5,27.31,99.54,27.19,36.49
"2014",3,"Águas Vermelhas",256,771,0,0.01913589475257886,3.01171875,0.0,0.601,11647.07,13378,5241,1472,111.59,111.59,29.09,100.0,29.09,39.18
"2008",4,"Aimorés",90,239,0,0.003618672349322504,2.6555555555555554,0.0,0.593,8887.23,24871,14292,5860,923.1,923.1,60.82,100.0,60.82,57.46
"2009",4,"Aimorés",94,261,1,0.0037865055387714,2.776595744680851,0.010638297872340425,0.593,10150.12,24825,13746,6314,1038.0,1038.0,81.16,100.0,81.16,55.37
"2010",4,"Aimorés",60,167,2,0.0024039424656436556,2.783333333333333,0.03333333333333333,0.684,10184.46,24959,15502,6452,1159.07,1159.07,75.0,100.0,75.0,62.11
"2011",4,"Aimorés",43,130,0,0.0017235850569183903,3.0232558139534884,0.0,0.684,11670.97,24948,19051,6566,1208.29,800.16,93.52,66.22,61.93,76.36
"2012",4,"Aimorés",54,163,0,0.002165456951517825,3.0185185185185186,0.0,0.684,13125.32,24937,19051,6721,1351.31,878.35,80.0,65.0,52.0,76.4
"2013",4,"Aimorés",43,112,1,0.0016747809152872445,2.604651162790698,0.023255813953488372,0.684,14985.86,25675,19821,6847,1311.05,786.63,84.11,60.0,50.46,77.2
"2014",4,"Aimorés",118,302,2,0.004594121082343781,2.559322033898305,0.01694915254237288,0.684,14084.98,25685,19821,6961,1402.27,841.36,80.0,60.0,48.0,77.17
"2008",7,"Alfenas",83,729,3,0.0011140191933427287,8.783132530120483,0.03614457831325301,0.675,13435.55,74505,76195,24371,3099.55,0.0,77.83,0.0,0.0,100.0
"2009",7,"Alfenas",25,143,0,3.323849283378094E-4,5.72,0.0,0.675,14535.54,75214,77568,24939,3174.33,0.0,78.05,0.0,0.0,100.0
"2010",7,"Alfenas",25,154,0,3.3887277360587743E-4,6.16,0.0,0.761,17422.24,73774,69176,25645,3353.15,415.81,77.37,12.4,9.59,93.77
"2011",7,"Alfenas",20,208,0,2.6918624996635174E-4,10.4,0.0,0.761,20458.0,74298,69667,26403,3398.35,1842.45,77.13,54.22,41.82,93.77
"2012",7,"Alfenas",16,70,0,2.1389230522431956E-4,4.375,0.0,0.761,22649.3,74804,70142,27083,3394.3,2633.78,76.76,77.59,59.56,93.77
"2013",7,"Alfenas",16,123,0,2.0613775155247494E-4,7.6875,0.0,0.761,22672.17,77618,72780,27858,3413.12,3291.84,77.05,96.45,74.31,93.77
"2014",7,"Alfenas",29,187,4,3.709578387228817E-4,6.448275862068965,0.13793103448275862,0.761,25103.11,78176,73304,28839,3377.89,3356.64,77.24,99.37,76.75,93.77
"2008",8,"Almenara",130,397,1,0.003397005409077844,3.0538461538461537,0.007692307692307693,0.529,4975.58,38269,30173,8907,992.09,0.0,69.62,0.0,0.0,78.84
"2009",8,"Almenara",95,333,5,0.002465547221717578,3.5052631578947366,0.05263157894736842,0.529,5489.78,38531,30799,9178,1032.32,0.0,70.97,0.0,0.0,79.93
"2010",8,"Almenara",140,407,1,0.0036105738233397806,2.907142857142857,0.007142857142857143,0.642,6822.02,38775,31750,9753,1063.99,0.0,71.83,0.0,0.0,81.88
"2011",8,"Almenara",97,325,1,0.002484885746490419,3.350515463917526,0.010309278350515464,0.642,7603.4,39036,31964,10361,1080.71,0.31,71.91,0.03,0.02,81.88
"2012",8,"Almenara",128,360,1,0.0032580751902665005,2.8125,0.0078125,0.642,8054.09,39287,32169,10788,1138.74,414.77,72.01,36.42,26.23,81.88
"2013",8,"Almenara",109,375,2,0.0026749122677857127,3.4403669724770642,0.01834862385321101,0.642,9098.35,40749,33366,11357,1156.6,993.0,72.43,85.86,62.18,81.88
"2014",8,"Almenara",113,367,1,0.002754216632543629,3.247787610619469,0.008849557522123894,0.642,10240.99,41028,33595,12110,1172.91,1092.32,72.2,93.13,67.24,81.88
"2008",12,"Araçuaí",230,976,3,0.006172508185282593,4.243478260869566,0.013043478260869565,0.516,4285.99,37262,2675,718,23.64,0.0,2.26,0.0,0.0,7.18
"2009",12,"Araçuaí",159,572,5,0.004252701401519204,3.59748427672956,0.031446540880503145,0.516,4564.11,37388,7022,1999,165.26,0.0,15.74,0.0,0.0,18.78
