Ano;Id;Município;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
2008;1;Águas Vermelhas;0,001180463;3,75;0;0,169587981;0,466;13179;3705,94;0,033709579;0
2009;1;Águas Vermelhas;0,001616458;2,363636364;0,090909091;0,381775806;0,466;13301;6728,53;0,004131622;0
2010;1;Águas Vermelhas;0,000745823;2,6;0;0,422496463;0,601;12722;10390,91;-0,014842028;0
2011;1;Águas Vermelhas;0,001041047;4,142857143;0;0,427308986;0,601;12787;10088,12;0,002983294;0
2012;1;Águas Vermelhas;0,001038114;2,285714286;0;0,339922179;0,601;12850;17412,72;0,002825699;0,29618677
2013;1;Águas Vermelhas;0,001865939;2;0;0,364948144;0,601;13306;10580,18;0,033219635;0,323162483
2014;1;Águas Vermelhas;0,000858124;1,333333333;0;0,391762595;0,601;13378;11647,07;0,003588345;0,321423232
2008;2;Aimorés;0,005528628;3,712328767;0;0,574645169;0,593;24871;8887,23;0,026191031;0
2009;2;Aimorés;0,009713895;3,8671875;0;0,553716012;0,593;24825;10150,12;-0,002044835;0,330312185
2010;2;Aimorés;0,014874915;3,868686869;0,005050505;0,621098602;0,684;24959;10184,46;0,010169234;0,291718418
2011;2;Aimorés;0,014050642;4,304812834;0;0,763628347;0,684;24948;11670,97;-0,000150252;0,291806958
2012;2;Aimorés;0,013753194;3,912568306;0,005464481;0,763965192;0,684;24937;13125,32;-0,000225411;0,317961262
2013;2;Aimorés;0,009195067;3,373015873;0;0,771996105;0,684;25675;14985,86;0,029836164;0,308821811
2014;2;Aimorés;0,013274014;4,049450549;0;0,771695542;0,684;25685;14084,98;0,000583814;0,308701577
2008;3;Alfenas;0,011685257;2,831168831;0,006493506;1,022683041;0,675;74505;13435,55;0,039845353;0,029997987
2009;3;Alfenas;0,011126983;2,986486486;0;1,031297365;0,675;75214;14535,54;0,009257152;0,067514027
2010;3;Alfenas;0,010768747;2,802919708;0,00729927;0,937674519;0,761;73774;17422,24;-0,043530562;0,072857646
2011;3;Alfenas;0,012512708;2,95;0,00625;0,937669924;0,761;74298;20458;0,00510926;0,073541683
2012;3;Alfenas;0,012529183;2,782608696;0,00621118;0,93767713;0,761;74804;22649,3;0,004926879;0,058392599
2013;3;Alfenas;0,007515407;2,85;0;0,937669097;0,761;77618;22672,17;0,035486381;0,062562808
2014;3;Alfenas;0,019135895;3,01171875;0;0,937679083;0,761;78176;25103,11;0,005411093;0,067041036
2008;4;Almenara;0,003618672;2,655555556;0;0,788444955;0,529;38269;4975,58;0,026370089;0,373461549
2009;4;Almenara;0,003786506;2,776595745;0,010638298;0,799330409;0,529;38531;5489,78;-0,001849544;0,356751706
2010;4;Almenara;0,002403942;2,783333333;0,033333333;0,818826564;0,642;38775;6822,02;0,005397784;0,399793681
2011;4;Almenara;0,001723585;3,023255814;0;0,818833897;0,642;39036;7603,4;-0,000440723;0,488036684
2012;4;Almenara;0,002165457;3,018518519;0;0,818820475;0,642;39287;8054,09;-0,000440917;0,484918675
2013;4;Almenara;0,001674781;2,604651163;0,023255814;0,81881764;0,642;40749;9098,35;0,029594578;0,486416845
2014;4;Almenara;0,004594121;2,559322034;0,016949153;0,818831042;0,642;41028;10240,99;0,000389484;0,483109096
2008;5;Araçuaí;0,00080141;2;0;0,071788954;0,516;37262;4285,99;0,022954583;0
2009;5;Araçuaí;0,000161031;2;0;0,187814272;0,516;37388;4564,11;-0,004648181;0
2010;5;Araçuaí;0,000811425;2,8;0;0,332685419;0,663;36013;5421,98;-0,007729469;0
2011;5;Araçuaí;0;0;0;0,405139163;0,663;36037;5931,35;-0,003732554;0
2012;5;Araçuaí;0,000163506;2;0;0,446157686;0,663;36059;6702,23;-0,003746539;0,055464655
2013;5;Araçuaí;0,000637552;4,25;0;0,484140009;0,663;37169;7629,69;0,025833878;0,069950765
2014;5;Araçuaí;0,001118747;2,428571429;0,142857143;0,52337453;0,663;37220;9171,63;-0,002709595;0,053734551
2008;6;Araguari;0,00295421;3,225490196;0,009803922;0,904934109;0,673;110334;16723,68;0,030810569;0
2009;6;Araguari;0,002919835;2,722772277;0;0,887825735;0,673;111095;17239,3;0,001853622;0
2010;6;Araguari;0,004803633;3,333333333;0;0,934262894;0,773;109801;19564,66;-0,006996039;0
2011;6;Araguari;0,003371505;3,310344828;0,00862069;1;0,773;110402;20056,12;0,001659437;0
2012;6;Araguari;0,002843794;2,612244898;0;1;0,773;110983;25458,45;0,001598558;0,203472604
2013;6;Araguari;0,001068646;3,157894737;0;1;0,773;114970;24558,92;0,031862105;0,257675915
2014;6;Araguari;0,002609354;2,47311828;0,010752688;1;0,773;115632;29606,03;0,002306027;0,257091463
2008;7;Araxá;0,001114019;8,78313253;0,036144578;1,021286108;0,683;91703;25803,3;0,040165857;0,830888848
2009;7;Araxá;0,000332385;5,72;0;1,038374208;0,683;92927;21312,23;0,00951614;0,834719726
2010;7;Araxá;0,000338873;6,16;0;0,985182338;0,772;93672;27466,91;-0,019145372;0,738491758
2011;7;Araxá;0,000269186;10,4;0;0,985179169;0,772;94799;30454,99;0,007102773;0,734891718
2012;7;Araxá;0,000213892;4,375;0;0,985180627;0,772;95888;41077,82;0,006810412;0,731499249
2013;7;Araxá;0,000206138;7,6875;0;0,985177925;0,772;99986;42591,31;0,037618309;0,727901906
2014;7;Araxá;0,000370958;6,448275862;0,137931034;0,985178374;0,772;101136;47115,64;0,007189054;0,724806202
2008;9;Barbacena;0,005193119;3,770833333;0,020833333;0,834372644;0,664;127328;10712,31;0,037315527;0
2009;9;Barbacena;0,002309469;3,837209302;0,069767442;0,839016271;0,664;128572;10386,55;0,007194634;0,116355038
2010;9;Barbacena;0,003083081;3,842105263;0,070175439;0,880942954;0,769;126284;12498,45;-0,007035824;0,118700706
2011;9;Barbacena;0,002526882;3,510638298;0,042553191;0,729778805;0,769;127218;13480,45;0,006057984;0
2012;9;Barbacena;0,003794965;3,563380282;0,014084507;0,738729316;0,769;128120;14784,11;0,005860215;0,132688105
2013;9;Barbacena;0,0033005;2,984375;0,015625;0,744615732;0,769;132980;15764,49;0,036453044;0,14581892
2014;9;Barbacena;0,00266489;3,461538462;0,038461538;0,75732989;0,769;133972;17014,04;0,006291579;0,145552802
2008;10;Belo Horizonte;0,001018626;3,285714286;0;0,976321365;0,726;2434642;17313,06;0,034472377;0
2009;10;Belo Horizonte;0,000651702;3,777777778;0;1,001578314;0,726;2452617;18182,7;0,004802095;0,00416657
2010;10;Belo Horizonte;0,000364511;3,4;0;1;0,81;2375151;24922,95;-0,006734251;0,004211101
2011;10;Belo Horizonte;0,000290402;1,75;0;1;0,81;2385640;27797,65;0,004155428;0
2012;10;Belo Horizonte;7,23118E-05;2;0;1;0,81;2395785;31167,37;0,00399303;0
2013;10;Belo Horizonte;0,000419404;2,666666667;0;1;0,81;2479165;33167,4;0,034492733;0,004207465
2014;10;Belo Horizonte;0;0;0;1;0,81;2491109;35187,85;0,004543548;0,004187292
2008;11;Berilo;0,00189978;3,666666667;0;0,226590526;0,497;13659;3818,48;0,039020483;0
2008;12;Betim;0,006172508;4,243478261;0,013043478;0,666131169;0,612;429507;58938,14;0,032674667;0,006228071
2009;12;Betim;0,004252701;3,597484277;0,031446541;0,718681239;0,612;441748;57009,27;0,003381461;0,015895941
2010;12;Betim;0,002193652;3,518987342;0,012658228;0,869181595;0,749;378089;61939,08;-0,036776506;0,031688306
2011;12;Betim;0,001997947;3,875;0,041666667;0,885893355;0,749;383571;56927,57;0,000666426;0,038063357
2012;12;Betim;0,001830334;3,575757576;0;0,905010119;0,749;388873;55678,87;0,000610484;0,041370833
2013;12;Betim;0,001748769;3,892307692;0,015384615;0,931702889;0,749;406474;54140,46;0,030782884;0,044270974
2014;12;Betim;0,002149382;3,5625;0,0375;0,964196863;0,749;412003;53456,01;0,001372111;0,047281209
2008;14;Bocaiúva;0,000623636;4;0;0,741847709;0,577;46306;7527,64;0,049239326;0
2009;14;Bocaiúva;0,000306654;5;0;0,742107069;0,577;46624;7708,34;0,016838167;0
2010;14;Bocaiúva;0,001139323;3,714285714;0;0,746988468;0,7;46654;8439,86;-0,057957682;0
2011;14;Bocaiúva;0;0;0;0,745473908;0,7;46950;9586,03;0,010579427;0
2012;14;Bocaiúva;0,000637857;2,5;0;0,762130578;0,7;47236;11837,26;0,009985505;0,125963248
2013;14;Bocaiúva;0,000459629;2,666666667;0;0,769796218;0,7;48974;13067,1;0,040822835;0,124555887
2014;14;Bocaiúva;0,000606704;2;0;0,768871848;0,7;49293;13348,83;0,010111843;0,128395513
2008;16;Borda da Mata;0,002795229;3,089108911;0,00990099;0,847470817;0,615;15420;7466,33;0,039409717;0
2013;16;Borda da Mata;0,002096816;2,728395062;0;0,801379235;0,73;18271;12364,26;0,038775949;0
2008;17;Botelhos;0,005770118;3,72;0;0,645053651;0,602;15284;9294,95;0,039008793;0
2009;17;Botelhos;0,002364788;3,903225806;0;0,648113022;0,602;15289;7687,63;0,008539775;0
2010;17;Botelhos;0,002528929;3,212121212;0;0,678552279;0,702;14920;7943,45;-0,004577008;0
2011;17;Botelhos;0,002586535;3;0;0,693700946;0,702;14907;9371,77;0,007356886;0
2012;17;Botelhos;0,002644104;3,114285714;0;0,718928356;0,702;14893;10506,25;0,006998859;0,888806822
2013;17;Botelhos;0,004658611;2,3125;0;0,714341642;0,702;15326;10342,95;0,037848455;0,795380399
2014;17;Botelhos;0,002817919;2,666666667;0;0,723588907;0,702;15325;12563,09;0,007424662;0,7954323
2008;18;Brasília de Minas;0,008288735;2,472440945;0;0,565123055;0,513;32262;4011,3;0,016182518;0,115212944
2009;18;Brasília de Minas;0,008837884;2,388059701;0,029850746;0,543097602;0,513;32438;4511,59;-0,010442501;0,118533818
2010;18;Brasília de Minas;0,009200969;2,443609023;0;0,576939096;0,656;31213;5105,4;-0,046629732;0,126261494
2011;18;Brasília de Minas;0,009173669;3,404580153;0,015267176;0,594674934;0,656;31286;5812,33;-0,012106538;0,13063351
2012;18;Brasília de Minas;0,008292579;3,64957265;0,017094017;0,618191096;0,656;31356;6574,64;-0,01197479;0,135221329
2013;18;Brasília de Minas;0,004949805;3,295774648;0,014084507;0,61615912;0,656;32378;7230,74;0,016656035;0,131725246
2014;18;Brasília de Minas;0,006907246;2,959183673;0;0,642441413;0,656;32473;8152,83;-0,010875627;0,134419364
2008;19;Brumadinho;0,00032538;4,111111111;0;0,600421453;0,627;33693;24789,95;0,046894516;0
2009;19;Brumadinho;0,000178101;3,6;0;0,598499607;0,627;34391;13812,21;0,014967462;0
