Id;prop_inter_pop_total;prop_dias_perm_internacoes;prop_obito_internacao;prop_pop_acesso_esg;idhm;populacao;pib_percapta;cresc_pop;prop_pop_atend_com_esgoto
1;0,001192281;2,639363018;0,012987013;0,356828879;0,562428571;13074,71429;10079,06714;0,009373735;0,134396069
2;0,011484336;3,869721528;0,001502141;0,688677853;0,658;25128,57143;11869,84857;0,009194249;0,264188887
3;0,012182026;2,88784321;0,003750565;0,96319288;0,736428571;75484,14286;19467,98714;0,008072222;0,061701112
4;0,002852438;2,774461738;0,012025228;0,811700712;0,609714286;39382,14286;7469,172857;0,008431536;0,438926891
5;0,000527667;2,21122449;0,020408163;0,350157148;0,621;36735,42857;6243,854286;0,003746018;0,025592853
6;0,002938711;2,976456936;0,004168186;0,961003248;0,744428571;111888,1429;21886,73714;0,009013468;0,102605712
7;0,000406493;7,081986913;0,024867945;0,997936964;0,746571429;95730,14286;33688,88571;0,012751025;0,760457058
9;0,003267558;3,567154277;0,038785779;0,789255087;0,739;129210,5714;13520,05714;0,013162451;0,094159367
10;0,000402423;2,411451247;0;0,996842811;0,786;2430587;26819,85429;0,01138928;0,002396061
11;0,00189978;3,666666667;0;0,226590526;0,497;13659;3818,48;0,039020483;0
12;0,00290647;3,75221645;0,021671361;0,848685318;0,709857143;405752,1429;56869,91429;0,004673075;0,032114099
14;0,000539115;2,840136054;0;0,753887971;0,664857143;47433,85714;10216,43714;0,011374203;0,054130664
16;0,002446022;2,908751986;0,004950495;0,824425026;0,6725;16845,5;9915,295;0,039092833;0
17;0,003338715;3,132685629;0;0,688896972;0,673428571;15134,85714;9672,87;0,014657203;0,35423136
18;0,007950127;2,944745828;0,010899492;0,593803759;0,615142857;31915,14286;5914,118571;-0,008455805;0,127429672
19;0,000302256;3,662150921;0,040149393;0,622256092;0,712714286;35106;52840,05;0,022692468;0,563969777
21;0,001386795;4,246784514;0;0,881733789;0,708857143;41624,71429;9621,602857;0,009133063;0,259707598
23;7,43928E-05;2,0625;0;0,863464975;0,709;15704,75;12973,805;0,026427485;0,245314998
24;0,005290717;3,206552404;0,006923257;0,790859444;0,680285714;19483,14286;17309,88429;-0,007341961;0,176872652
26;0,002271454;3,229991945;0;0,893070923;0,652428571;11689,28571;8225,23;0,007552548;0,357770394
27;0,000987731;3,070566599;0,00625;0,634405202;0,653;35808,4;10526,248;0,0046848;0,915339026
30;0,0007261;2,925357835;0,013605442;0,663928095;0,677428571;86783;11145,31;0,005418541;0,095892825
32;0,001235101;3,655432252;0,004926108;0,613829623;0,612571429;20369,71429;12835,93143;0,004629742;0,512628333
34;0,000495425;3,366666667;0;0,64524029;0,599333333;14394,33333;8885,153333;0,006483696;0,229095074
36;0,003094994;3,198884449;0,003246753;0,79820866;0,661428571;17347,14286;13638,9;0,004754914;0,343235641
37;0,003658849;3,88297215;0,011844078;0,508540947;0,553333333;4676,666667;5596,84;0,019351634;0,221246708
38;0,000775217;4,942257742;0,028571429;1,026093348;0,716142857;21780,71429;9823,187143;0,006970103;0,201808457
39;0,000389835;3,5625;0;0,783946334;0,597;25938;10042,96;0,010065462;0
40;0,002419261;2,368820385;0,013605442;0,553145187;0,575714286;18165,57143;12515,85714;0,01533696;0,726387064
41;0,001352643;2,981774707;0,005714286;0,812115172;0,719857143;49712,85714;47072,25714;0,018441587;0,477382332
42;0,000946562;3,808802309;0,035827664;0,945024188;0,733857143;118350,2857;11014,16143;0,005688057;0,0624197
43;0,003356426;2,609945603;0,00976863;0,939605564;0,726;621507,2857;32781,37143;0,010797386;0,022224193
44;0,000610918;2,530880713;0;0,236123596;0,606285714;26586,28571;6487,955714;0,007793485;0,250791746
45;0,003150256;2,748534158;0,0098032;0,976493351;0,724428571;105586;10060,28857;0,009816301;0,145887696
46;0,000334822;7,271386054;0,0375;0,822546505;0,683;75660,57143;12140,85857;0,007070058;0,673262241
47;0,000195307;2,398639456;0;0,824339292;0,683428571;46577,71429;9261,284286;0,004725229;0,224277973
48;0,002583269;3,448899685;0,0078125;0,068947404;0,527;8722;5199,025;0,020855568;0
