Ano;Id;Município;N. Internação;Dias de Permanência;N. Óbitos;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;IDHM;PIB per Capita série revisada;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;ES001 - População total atendida com esgotamento sanitário;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2012;1;Abadia dos Dourados;7;16;0;0,001038114;2,285714286;0;0,689;16514,9;6743;3806;1903;219;0;92,94;0;0;56,44
2012;2;Abre Campo;183;716;1;0,013753194;3,912568306;0,005464481;0,654;9081,3;13306;7929;1712;485;0;85,01;0;0;59,59
2012;3;Águas Vermelhas;161;448;1;0,012529183;2,782608696;0,00621118;0,601;17412,72;12850;4368;1232;90,41;90,41;24,88;100;24,88;33,99
2012;4;Aimorés;54;163;0;0,002165457;3,018518519;0;0,684;13125,32;24937;19051;6721;1351,31;878,35;80;65;52;76,4
2012;5;Aiuruoca;1;2;0;0,000163506;2;0;0,668;9013,01;6116;2000;989;75;0;83,33;0;0;32,7
2012;6;Além Paraíba;98;256;0;0,002843794;2,612244898;0;0,726;16516,76;34461;22582;6272;623,09;0;35,3;0;0;65,53
2012;7;Alfenas;16;70;0;0,000213892;4,375;0;0,761;22649,3;74804;70142;27083;3394,3;2633,78;76,76;77,59;59,56;93,77
2012;8;Almenara;128;360;1;0,003258075;2,8125;0,0078125;0,642;8054,09;39287;32169;10788;1138,74;414,77;72,01;36,42;26,23;81,88
2012;9;Alpinópolis;71;253;1;0,003794965;3,563380282;0,014084507;0,725;13061,48;18709;17000;5000;820;0;100;0;0;90,87
2012;11;Andradas;29;85;2;0,000764768;2,931034483;0,068965517;0,734;17253,74;37920;33133;13593;3360;0;100;0;0;87,38
2012;12;Araçuaí;66;236;0;0,001830334;3,575757576;0;0,663;6702,23;36059;16088;4862;474,33;225,34;34,58;47,51;16,43;44,62
2012;13;Araguari;99;358;1;0,000892029;3,616161616;0,01010101;0,773;25458,45;110983;110983;34889;8894;158;80;1,78;1,42;100
2012;15;Araxá;49;185;0;0,000511013;3,775510204;0;0,772;41077,82;95888;94467;32542;4175,89;875,73;77,14;20,97;16,18;98,52
2012;16;Arcos;161;409;0;0,004329354;2,540372671;0;0,749;26594,7;37188;34509;14343;1646;1646;76,4;100;76,4;92,8
2012;18;Ataléia;117;427;2;0,008292579;3,64957265;0,017094017;0,588;6743,78;14109;4240;1258;116,23;0,21;39,88;0,18;0,07;30,05
2012;19;Barão de Cocais;11;29;0;0,000376648;2,636363636;0;0,722;34773,09;29205;28520;9600;1335;0;98,36;0;0;97,65
2012;20;Barbacena;24;157;0;0,000187324;6,541666667;0;0,769;14784,11;128120;94646;26954;3320,56;322,06;74,37;9,7;7,21;73,87
2012;21;Barroso;17;71;0;0,00085915;4,176470588;0;0,734;17086,72;19787;15084;6370;858,29;66,6;94,66;7,76;7,35;76,23
2012;22;Belo Horizonte;2121;13733;27;0,000885305;6,474776049;0,012729844;0,81;31167,37;2395785;2395785;546027;119057,53;102219,64;75,1;85,86;64,48;100
2012;24;Berilo;59;187;1;0,004836859;3,169491525;0,016949153;0,628;5201,02;12198;3547;1149;62,77;62,77;33,92;100;33,92;29,08
2012;25;Betim;51;311;0;0,000131148;6,098039216;0;0,749;55678,87;388873;351934;88692;12813,86;11488,6;62,29;89,66;55,84;90,5
2012;27;Boa Esperança;47;124;0;0,001213404;2,638297872;0;0,704;15842,75;38734;32373;11182;1623,93;0;80;0;0;83,58
2012;28;Bocaiúva;38;132;0;0,000804471;3,473684211;0;0,7;11837,26;47236;36000;10216;1449;0;73,55;0;0;76,21
2012;29;Bom Despacho;21;71;0;0,000451788;3,380952381;0;0,75;17464,94;46482;43771;16100;1827,72;0;73,55;0;0;94,17
2012;30;Bom Sucesso;13;32;0;0,000752707;2,461538462;0;0,692;13184,28;17271;15182;5113;532,94;432,94;80,01;81,24;65;87,9
2012;31;Borda da Mata;14;36;0;0,00079895;2,571428571;0;0,73;12129,95;17523;14043;4724;435,77;11,77;77,31;2,7;2,09;80,14
2012;32;Botelhos;26;113;0;0,001745787;4,346153846;0;0,702;10506,25;14893;10707;3367;338,7;0;56,73;0;0;71,89
2012;33;Brasília de Minas;44;216;0;0,00140324;4,909090909;0;0,656;6574,64;31356;19384;5594;512,78;0,88;66,3;0,17;0,11;61,82
2012;36;Bueno Brandão;39;135;0;0,003582583;3,461538462;0;0,658;8763,72;10886;5671;2213;213,89;209,46;75,45;97,93;73,88;52,09
2012;37;Buritis;35;116;0;0,001515742;3,314285714;0;0,672;24513,79;23091;5610;1742;167,11;0;23,05;0;0;24,3
2012;38;Cabo Verde;13;64;0;0,000939442;4,923076923;0;0,674;12693,97;13838;7635;2682;269,13;27,99;74,79;10,4;7,78;55,17
2012;39;Caeté;13;87;2;0,000313835;6,692307692;0,153846154;0,728;11748,84;41423;39507;10009;2776,96;296,05;80;10,66;8,53;95,37
2012;40;Camanducaia;24;50;0;0,001134108;2,083333333;0;0,689;18386,23;21162;15529;4686;563,86;0,05;54,83;0,01;0;73,38
2012;41;Cambuí;17;58;0;0,000629164;3,411764706;0;0,751;20128,03;27020;24426;8372;1390;74,8;95,52;5,38;5,14;90,4
2012;42;Cambuquira;5;13;0;0,000396448;2,6;0;0,699;14627,25;12612;10500;2502;585;0;69,48;0;0;83,25
2012;43;Campanha;50;119;0;0,003197953;2,38;0;0,709;14129,57;15635;13500;4788;428,09;0,05;77,19;0,01;0,01;86,34
2012;45;Campina Verde;73;204;0;0,003771051;2,794520548;0;0,704;20295,46;19358;14458;6034;603,39;124,57;74,21;20,65;15,32;74,69
2012;46;Campo Belo;5;22;1;9,63391E-05;4,4;0,2;0,711;13624,68;51900;51900;16392;1869,12;0;80;0;0;100
2012;48;Campos Altos;22;77;0;0,001526082;3,5;0;0,702;15398,11;14416;14416;3750;775,6;0;100;0;0;100
2012;49;Campos Gerais;47;129;0;0,001693084;2,744680851;0;0,682;12652,81;27760;19877;5649;635,97;0;65,72;0;0;71,6
2012;50;Candeias;20;62;0;0,001368363;3,1;0;0,678;12368,73;14616;11500;3831;432;0;77,33;0;0;78,68
2012;51;Capelinha;171;384;0;0,004834879;2,245614035;0;0,653;10678,7;35368;22820;6962;615,76;0,41;53,28;0,07;0,04;64,52
2012;53;Capinópolis;1;3;0;6,4834E-05;3;0;0,723;15802,34;15424;14400;4450;455;0;54,74;0;0;93,36
2012;55;Carangola;153;874;1;0,004729082;5,712418301;0,006535948;0,695;11385,08;32353;19698;6300;1384,24;146,05;80,57;10,55;8,5;60,88
2012;56;Caratinga;86;336;2;0,000995785;3,906976744;0,023255814;0,706;12408,89;86364;59084;16023;1930,16;0,96;58,41;0,05;0,03;68,41
2012;57;Carbonita;17;55;0;0,001852659;3,235294118;0;0,638;8509,13;9176;6157;2017;154,85;0;49,18;0;0;67,1
2012;58;Carlos Chagas;131;337;0;0,006623186;2,572519084;0;0,648;14049,01;19779;12777;3727;356,53;345,38;57,32;96,87;55,53;64,6
2012;59;Carmo da Cachoeira;10;28;1;0,000842318;2,8;0,1;0,655;13329,26;11872;8993;2972;289,68;0,16;71,18;0,06;0,04;75,75
2012;61;Carmo de Minas;19;51;0;0,001363767;2,684210526;0;0,682;9952,2;13932;10626;2717;301,78;0;80;0;0;76,27
2012;62;Carmo do Paranaíba;19;45;0;0,000638076;2,368421053;0;0,705;15076,03;29777;25236;9540;964,98;0;80,42;0;0;84,75
2012;63;Carmo do Rio Claro;26;116;0;0,001266378;4,461538462;0;0,733;14619,01;20531;14436;5787;599,89;0;72,69;0;0;70,31
2012;64;Carmópolis de Minas;13;28;1;0,00074473;2,153846154;0,076923077;0,7;14979,35;17456;12866;3928;704;493;96,31;70,03;67,44;73,71
