ano;id;prop_intern_pop;prop_dias_perm_intern;prop_obitos;pop_total;qntd_lig_ativa_esg;qntd_econ_ativa_esg;vol_esg_coletado;vol_esg_tratado;vol_esg_fat;qntd_res_ativ_esg;qntd_lig_total_esg;ind_coleta_esg;ind_trata_esg;ext_rede_esg_lig;ind_atend_esg_mun_atend_agua;ind_esg_trat_agua_cons;ind_atend_esg_mun_esg;ind_atend_esg_mun_agua;rec_oper_dir_agua;rec_oper_dir_esg;rec_oper_indireta;desp_explor;inv_esg_sanit_prest_serv;inv_realiz_esg_sanit_mun;inv_realiz_esg_estado;desp_total_serv_m3_fat;tarifa_med_prat;tar_media_agua;tar_media_esg;desp_explor_m3_fat;desp_explor_econ;margem_desp_explor
2008;1;0,001180;3,750000;0,000000;6777,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;596743,740000;;11807,970000;401993,350000;0,000000;;;2,300000;2,520000;2,520000;;1,690000;225,210000;67,360000
2009;1;0,001616;2,363636;0,090909;6805,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;627986,030000;;12935,520000;421239,910000;0,000000;0,000000;0,000000;2,350000;2,650000;2,650000;;1,780000;230,370000;67,080000
2010;1;0,000746;2,600000;0,000000;6704,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;627761,360000;;13577,790000;454434,630000;0,000000;0,000000;0,000000;2,550000;2,560000;2,560000;;1,860000;242,820000;72,390000
2011;1;0,001041;4,142857;0,000000;6724,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;673169,620000;;6089,000000;459409,320000;0,000000;;;2,430000;2,670000;2,670000;;1,830000;240,400000;68,250000
2012;1;0,001038;2,285714;0,000000;6743,000000;1903,000000;1903,000000;219,000000;0,000000;0,000000;1903,000000;2000,000000;0,929400;0,000000;14,000000;0,903400;0,000000;0,903400;0,564400;701984,300000;0,000000;9283,990000;543343,540000;0,000000;0,000000;0,000000;3,090000;2,750000;2,750000;;2,130000;140,270000;77,400000
2013;1;0,001866;2,000000;0,000000;6967,000000;1903,000000;1973,000000;400,000000;0,000000;0,000000;1903,000000;2000,000000;1,000000;0,000000;14,500000;0,987800;0,000000;0,987800;0,617200;778808,000000;0,000000;12324,650000;601400,590000;0,000000;30000,000000;0,000000;2,950000;2,890000;2,890000;;2,230000;151,200000;77,220000
2014;1;0,000858;1,333333;0,000000;6992,000000;1903,000000;1973,000000;400,000000;0,000000;0,000000;1903,000000;2000,000000;1,000000;0,000000;15,000000;0,984200;0,000000;0,984200;0,615000;813514,940000;0,000000;8383,870000;622335,060000;0,000000;32000,000000;0,000000;3,030000;2,980000;2,980000;;2,280000;152,830000;76,500000
2008;2;0,005529;3,712329;0,000000;13204,000000;;;;;;;;0,000000;0,000000;;0,000000;0,000000;0,000000;0,000000;;;;;;;;;;;;;;
2009;2;0,009714;3,867188;0,000000;13177,000000;2050,000000;2050,000000;307,000000;0,000000;0,000000;2050,000000;2050,000000;0,000000;0,000000;55,610000;0,000000;0,000000;1,000000;0,000000;;0,000000;0,000000;19000,000000;0,000000;;27182,000000;;;;;;9,270000;
2010;2;0,014875;3,868687;0,005051;13311,000000;1509,000000;1780,000000;288,460000;0,000000;0,000000;1775,000000;1620,000000;0,800000;0,000000;62,130000;1,000000;0,000000;1,000000;0,547000;918374,840000;0,000000;0,000000;857612,110000;0,000000;;;2,380000;2,550000;2,550000;;2,380000;198,110000;93,380000
2011;2;0,014051;4,304813;0,000000;13309,000000;1524,000000;1796,000000;301,000000;0,000000;0,000000;1786,000000;1634,000000;0,805500;0,000000;12,910000;1,000000;0,000000;1,000000;0,547000;1084834,740000;0,000000;0,000000;1125603,960000;0,000000;;0,000000;3,010000;2,900000;2,900000;;3,010000;267,870000;103,760000
2012;2;0,013753;3,912568;0,005464;13306,000000;1712,000000;1874,000000;485,000000;0,000000;0,000000;1864,000000;1712,000000;0,850100;0,000000;13,750000;0,822100;0,000000;0,822100;0,595900;1057935,760000;0,000000;0,000000;1097305,410000;0,000000;0,000000;0,000000;1,980000;1,900000;1,900000;;1,980000;251,470000;103,720000
2013;2;0,009195;3,373016;0,000000;13703,000000;1668,000000;1946,000000;485,100000;0,000000;0,000000;1936,000000;1803,000000;0,850000;0,000000;15,650000;0,798300;0,000000;0,798300;0,578600;1139525,630000;0,000000;0,000000;1085295,410000;0,000000;0,000000;0,000000;1,910000;2,010000;2,010000;;1,910000;235,910000;95,240000
2014;2;0,013274;4,049451;0,000000;13711,000000;1734,000000;2015,000000;506,100000;0,000000;0,000000;2002,000000;1899,000000;0,851200;0,000000;16,480000;0,797700;0,000000;0,797700;0,578300;1245428,970000;0,000000;0,000000;1303276,990000;0,000000;0,000000;0,000000;2,200000;2,100000;2,100000;;2,200000;273,080000;104,640000
2008;3;0,011685;2,831169;0,006494;13179,000000;654,000000;672,000000;49,790000;49,790000;82,070000;595,000000;655,000000;0,157200;1,000000;33,500000;0,243200;0,157200;0,243200;0,169600;874438,160000;105168,340000;27941,020000;1077715,190000;1102,000000;;;3,060000;2,220000;2,440000;1,280000;2,450000;277,300000;110,020000
2009;3;0,011127;2,986486;0,000000;13301,000000;1421,000000;1456,000000;89,150000;89,150000;135,540000;1335,000000;1422,000000;0,276900;1,000000;20,890000;0,547500;0,276900;0,547500;0,381800;916918,990000;196930,140000;35860,590000;1004944,100000;0,000000;0,000000;0,000000;2,600000;2,220000;2,500000;1,450000;2,000000;226,060000;90,220000
