Ano;Id;Prop Inter / Total Pop;Prop Dias Perm / Internações;Prop de Óbitos / Inter;POP_TOT - População total do município do ano de referência (Fonte: IBGE):;% POP_TOT atendida com ES;IDHM;PIB per Capita série revisada;ES002 - Quantidade de ligações ativas de esgotos;ES005 - Volume de esgotos coletado;ES006 - Volume de esgotos tratado;IN015_AE - Índice de coleta de esgoto;IN016_AE - Índice de tratamento de esgoto;IN046_AE - Índice de esgoto tratado referido à água consumida;IN056_AE - Índice de atendimento total de esgoto referido aos municípios atendidos com água
2008;1;0,001180463;3,75;0;6777;0;0,575;10429,51;;;;;;;
2009;1;0,001616458;2,363636364;0,090909091;6805;0;0,575;10466,15;;;;;;;
2010;1;0,000745823;2,6;0;6704;0;0,689;9497,65;;;;;;;
2011;1;0,001041047;4,142857143;0;6724;0;0,689;12385,35;;;;;;;
2012;1;0,001038114;2,285714286;0;6743;0,564437194;0,689;16514,9;1903;219;0;0,9294;0;0;0,5644
2013;1;0,001865939;2;0;6967;0,61719535;0,689;19907,27;1903;400;0;1;0;0;0,6172
2014;1;0,000858124;1,333333333;0;6992;0,614988558;0,689;27399,24;1903;400;0;1;0;0;0,615
2008;2;0,005528628;3,712328767;0;13204;0;0,54;6545,03;;;;;;;
2009;2;0,009713895;3,8671875;0;13177;0,622296426;0,54;7093;2050;307;0;;0;;
2010;2;0,014874915;3,868686869;0,005050505;13311;0,54699121;0,654;8024,49;1509;288,46;0;0,8;0;0;0,547
2011;2;0,014050642;4,304812834;0;13309;0,546998272;0,654;11098,08;1524;301;0;0,8055;0;0;0,547
2012;2;0,013753194;3,912568306;0,005464481;13306;0,595896588;0,654;9081,3;1712;485;0;0,8501;0;0;0,5959
2013;2;0,009195067;3,373015873;0;13703;0,578632416;0,654;9938,96;1668;485,1;0;0,85;0;0;0,5786
2014;2;0,013274014;4,049450549;0;13711;0,5782948;0,654;11331,93;1734;506,1;0;0,8512;0;0;0,5783
2008;3;0,011685257;2,831168831;0,006493506;13179;0,169587981;0,466;3705,94;654;49,79;49,79;0,1572;1;0,1572;0,1696
2009;3;0,011126983;2,986486486;0;13301;0,381775806;0,466;6728,53;1421;89,15;89,15;0,2769;1;0,2769;0,3818
2010;3;0,010768747;2,802919708;0,00729927;12722;0,422496463;0,601;10390,91;1514;118,4;118,4;0,3462;1;0,3462;0,4225
2011;3;0,012512708;2,95;0,00625;12787;0,427308986;0,601;10088,12;1537;117,81;117,81;0,3438;1;0,3438;0,4273
2012;3;0,012529183;2,782608696;0,00621118;12850;0,339922179;0,601;17412,72;1232;90,41;90,41;0,2488;1;0,2488;0,3399
2013;3;0,007515407;2,85;0;13306;0,364948144;0,601;10580,18;1365;101,97;101,5;0,2731;0,9954;0,2719;0,3649
2014;3;0,019135895;3,01171875;0;13378;0,391762595;0,601;11647,07;1472;111,59;111,59;0,2909;1;0,2909;0,3918
2008;4;0,003618672;2,655555556;0;24871;0,574645169;0,593;8887,23;5860;923,1;923,1;0,6082;1;0,6082;0,5746
2009;4;0,003786506;2,776595745;0,010638298;24825;0,553716012;0,593;10150,12;6314;1038;1038;0,8116;1;0,8116;0,5537
2010;4;0,002403942;2,783333333;0,033333333;24959;0,621098602;0,684;10184,46;6452;1159,07;1159,07;0,75;1;0,75;0,6211
2011;4;0,001723585;3,023255814;0;24948;0,763628347;0,684;11670,97;6566;1208,29;800,16;0,9352;0,6622;0,6193;0,7636
2012;4;0,002165457;3,018518519;0;24937;0,763965192;0,684;13125,32;6721;1351,31;878,35;0,8;0,65;0,52;0,764
2013;4;0,001674781;2,604651163;0,023255814;25675;0,771996105;0,684;14985,86;6847;1311,05;786,63;0,8411;0,6;0,5046;0,772
2014;4;0,004594121;2,559322034;0,016949153;25685;0,771695542;0,684;14084,98;6961;1402,27;841,36;0,8;0,6;0,48;0,7717
2008;5;0,00080141;2;0;6239;0;0,55;8376,06;;;;;;;
2009;5;0,000161031;2;0;6210;0;0,55;8467,45;;;;;;;
2010;5;0,000811425;2,8;0;6162;0;0,668;7635,25;;;;;;;
2011;5;0;0;0;6139;0;0,668;8116,83;;;;;;;
2012;5;0,000163506;2;0;6116;0,327011118;0,668;9013,01;989;75;0;0,8333;0;0;0,327
2013;5;0,000637552;4,25;0;6274;0,414408671;0,668;10771,41;1000;75;0;0,8333;0;0;0,4144
2014;5;0,001118747;2,428571429;0,142857143;6257;0,319642001;0,668;11195,68;1200;75;0;0,8333;0;0;0,3196
2008;6;0,00295421;3,225490196;0,009803922;34527;0;0,65;15577,53;;;;;;;
2009;6;0,002919835;2,722772277;0;34591;0;0,65;18018,68;;;;;;;
2010;6;0,004803633;3,333333333;0;34349;0;0,726;16452,44;;;;;;;
2011;6;0,003371505;3,310344828;0,00862069;34406;0;0,726;15226,76;;;;;;;
2012;6;0,002843794;2,612244898;0;34461;0,655291489;0,726;16516,76;6272;623,09;0;0,353;0;0;0,6553
2013;6;0,001068646;3,157894737;0;35559;0,833122416;0,726;19771,47;8288;1011,11;0;0,5618;0;0;0,8331
2014;6;0,002609354;2,47311828;0,010752688;35641;0,834095564;0,726;20767,04;8410;1082,21;0;0,596;0;0;0,8341
2008;7;0,001114019;8,78313253;0,036144578;74505;1;0,675;13435,55;24371;3099,55;0;0,7783;0;0;1
2009;7;0,000332385;5,72;0;75214;1;0,675;14535,54;24939;3174,33;0;0,7805;0;0;1
2010;7;0,000338873;6,16;0;73774;0,937674519;0,761;17422,24;25645;3353,15;415,81;0,7737;0,124;0,0959;0,9377
2011;7;0,000269186;10,4;0;74298;0,937669924;0,761;20458;26403;3398,35;1842,45;0,7713;0,5422;0,4182;0,9377
2012;7;0,000213892;4,375;0;74804;0,93767713;0,761;22649,3;27083;3394,3;2633,78;0,7676;0,7759;0,5956;0,9377
2013;7;0,000206138;7,6875;0;77618;0,937669097;0,761;22672,17;27858;3413,12;3291,84;0,7705;0,9645;0,7431;0,9377
2014;7;0,000370958;6,448275862;0,137931034;78176;0,937679083;0,761;25103,11;28839;3377,89;3356,64;0,7724;0,9937;0,7675;0,9377
